"Month","date","nmbr_passes","month_day","month_nmbr","mon_year"
"June",2021-06-22,135,"June_22",6,"06-21"
"June",2021-06-23,341,"June_23",6,"06-21"
"June",2021-06-24,398,"June_24",6,"06-21"
"June",2021-06-25,625,"June_25",6,"06-21"
"June",2021-06-26,1053,"June_26",6,"06-21"
"June",2021-06-27,1041,"June_27",6,"06-21"
"June",2021-06-28,365,"June_28",6,"06-21"
"June",2021-06-29,343,"June_29",6,"06-21"
"June",2021-06-30,569,"June_30",6,"06-21"
"July",2021-07-01,1053,"July_1",7,"07-21"
"July",2021-07-02,1053,"July_2",7,"07-21"
"July",2021-07-03,1053,"July_3",7,"07-21"
"July",2021-07-04,1053,"July_4",7,"07-21"
"July",2021-07-05,730,"July_5",7,"07-21"
"July",2021-07-06,646,"July_6",7,"07-21"
"July",2021-07-07,456,"July_7",7,"07-21"
"July",2021-07-08,610,"July_8",7,"07-21"
"July",2021-07-09,999,"July_9",7,"07-21"
"July",2021-07-10,1053,"July_10",7,"07-21"
"July",2021-07-11,1053,"July_11",7,"07-21"
"July",2021-07-12,839,"July_12",7,"07-21"
"July",2021-07-13,535,"July_13",7,"07-21"
"July",2021-07-14,610,"July_14",7,"07-21"
"July",2021-07-15,729,"July_15",7,"07-21"
"July",2021-07-16,961,"July_16",7,"07-21"
"July",2021-07-17,1053,"July_17",7,"07-21"
"July",2021-07-18,1053,"July_18",7,"07-21"
"July",2021-07-19,1040,"July_19",7,"07-21"
"July",2021-07-20,826,"July_20",7,"07-21"
"July",2021-07-21,741,"July_21",7,"07-21"
"July",2021-07-22,919,"July_22",7,"07-21"
"July",2021-07-23,1053,"July_23",7,"07-21"
"July",2021-07-24,1053,"July_24",7,"07-21"
"July",2021-07-25,1053,"July_25",7,"07-21"
"July",2021-07-26,1053,"July_26",7,"07-21"
"July",2021-07-27,1053,"July_27",7,"07-21"
"July",2021-07-28,1052,"July_28",7,"07-21"
"July",2021-07-29,984,"July_29",7,"07-21"
"July",2021-07-30,1053,"July_30",7,"07-21"
"July",2021-07-31,1053,"July_31",7,"07-21"
"Aug",2021-08-01,1053,"Aug_1",8,"08-21"
"Aug",2021-08-02,1053,"Aug_2",8,"08-21"
"Aug",2021-08-03,1053,"Aug_3",8,"08-21"
"Aug",2021-08-04,1053,"Aug_4",8,"08-21"
"Aug",2021-08-05,1053,"Aug_5",8,"08-21"
"Aug",2021-08-06,1053,"Aug_6",8,"08-21"
"Aug",2021-08-07,1053,"Aug_7",8,"08-21"
"Aug",2021-08-08,1053,"Aug_8",8,"08-21"
"Aug",2021-08-09,1053,"Aug_9",8,"08-21"
"Aug",2021-08-10,1053,"Aug_10",8,"08-21"
"Aug",2021-08-11,1053,"Aug_11",8,"08-21"
"Aug",2021-08-12,1053,"Aug_12",8,"08-21"
"Aug",2021-08-13,1053,"Aug_13",8,"08-21"
"Aug",2021-08-14,1053,"Aug_14",8,"08-21"
"Aug",2021-08-15,1053,"Aug_15",8,"08-21"
"Aug",2021-08-16,1053,"Aug_16",8,"08-21"
"Aug",2021-08-17,1053,"Aug_17",8,"08-21"
"Aug",2021-08-18,1053,"Aug_18",8,"08-21"
"Aug",2021-08-19,1053,"Aug_19",8,"08-21"
"Aug",2021-08-20,1053,"Aug_20",8,"08-21"
"Aug",2021-08-21,1053,"Aug_21",8,"08-21"
"Aug",2021-08-22,1053,"Aug_22",8,"08-21"
"Aug",2021-08-23,1053,"Aug_23",8,"08-21"
"Aug",2021-08-24,1053,"Aug_24",8,"08-21"
"Aug",2021-08-25,1053,"Aug_25",8,"08-21"
"Aug",2021-08-26,1053,"Aug_26",8,"08-21"
"Aug",2021-08-27,1053,"Aug_27",8,"08-21"
"Aug",2021-08-28,1053,"Aug_28",8,"08-21"
"Aug",2021-08-29,1053,"Aug_29",8,"08-21"
"Aug",2021-08-30,1053,"Aug_30",8,"08-21"
"Aug",2021-08-31,906,"Aug_31",8,"08-21"
"Sept",2021-09-01,1053,"Sept_1",9,"09-21"
"Sept",2021-09-02,1053,"Sept_2",9,"09-21"
"Sept",2021-09-03,1053,"Sept_3",9,"09-21"
"Sept",2021-09-04,1053,"Sept_4",9,"09-21"
"Sept",2021-09-05,1053,"Sept_5",9,"09-21"
"Sept",2021-09-06,1053,"Sept_6",9,"09-21"
"Sept",2021-09-07,1053,"Sept_7",9,"09-21"
"Sept",2021-09-08,488,"Sept_8",9,"09-21"
"Sept",2021-09-09,488,"Sept_9",9,"09-21"
"Sept",2021-09-10,1042,"Sept_10",9,"09-21"
"Sept",2021-09-11,1053,"Sept_11",9,"09-21"
"Sept",2021-09-12,1053,"Sept_12",9,"09-21"
"Sept",2021-09-13,1053,"Sept_13",9,"09-21"
"Sept",2021-09-14,403,"Sept_14",9,"09-21"
"Sept",2021-09-15,658,"Sept_15",9,"09-21"
"Sept",2021-09-16,656,"Sept_16",9,"09-21"
"Sept",2021-09-17,293,"Sept_17",9,"09-21"
"Sept",2021-09-18,658,"Sept_18",9,"09-21"
"Sept",2021-09-19,572,"Sept_19",9,"09-21"
"Sept",2021-09-20,502,"Sept_20",9,"09-21"
"Sept",2021-09-21,645,"Sept_21",9,"09-21"
"Sept",2021-09-22,287,"Sept_22",9,"09-21"
"Sept",2021-09-23,690,"Sept_23",9,"09-21"
"Sept",2021-09-24,1053,"Sept_24",9,"09-21"
"Sept",2021-09-25,1053,"Sept_25",9,"09-21"
"Sept",2021-09-26,601,"Sept_26",9,"09-21"
"Sept",2021-09-27,266,"Sept_27",9,"09-21"
"Sept",2021-09-28,245,"Sept_28",9,"09-21"
"Sept",2021-09-29,231,"Sept_29",9,"09-21"
