"Location","Method","Count","Trail_length","count_per_km"
"Garibaldi","Cameras",33254.3456764221,24.0490820198041,1382.76985579065
"Garibaldi","AllTrails",4460,24.0490820198041,185.45406416458
"Garibaldi","Strava",37504,24.0490820198041,1559.47740413193
"Joffre","Cameras",16539.6408783831,21.9706905913827,752.804779148372
"Joffre","AllTrails",1959,21.9706905913827,89.1642432381418
"Joffre","Strava",3185,21.9706905913827,144.965857434141
"Golden Ears","Cameras",33155.0618690234,105.941682361301,312.955780293844
"Golden Ears","AllTrails",8368,105.941682361301,78.9868521387267
"Golden Ears","Strava",103838,105.941682361301,980.143015341911
"Cathedral","Cameras",15239.2803697009,96.1654774811506,158.469346472989
"Cathedral","AllTrails",274,96.1654774811506,2.84925533753739
"Cathedral","Strava",1825,96.1654774811506,18.9777043467363
